product_id,product_name,category,subcategory,brand,unit_cost,selling_price
P0001,L'Oreal Bookshelf 001,Home & Living,Furniture,L'Oreal,2582.62,3760.65
P0002,Adidas Women's Jeans 002,Fashion,Women,Adidas,2847.68,4512.25
P0003,Nestle Potato Chips 003,Grocery,Snacks,Nestle,67.58,84.74
P0004,Generic Camping Chair 004,Sports,Outdoor,Generic,1837.79,2802.52
P0005,Samsung Soundbar 005,Electronics,Audio,Samsung,563.06,838.91
P0006,Nike Steam Cleaner 006,Home Appliances,Cleaning,Nike,1711.75,1992.63
P0007,Nestle Nuts 007,Grocery,Snacks,Nestle,2819.71,4378.09
P0008,P&G Dumbbell Set 008,Sports,Fitness,P&G,604.03,706.93
P0009,Philips Men's T-Shirt 009,Fashion,Men,Philips,2247.01,3129.77
P0010,L'Oreal Perfume 010,Beauty,Fragrance,L'Oreal,2410.55,2853.0
P0011,L'Oreal Air Conditioner 011,Home Appliances,Cooling,L'Oreal,612.17,705.52
P0012,Sony Face Cream 012,Beauty,Skincare,Sony,2139.8,3221.64
P0013,Nestle Coffee Maker 013,Home Appliances,Kitchen,Nestle,1960.21,3061.32
P0014,P&G Women's T-Shirt 014,Fashion,Women,P&G,1006.08,1185.77
P0015,Sony Microwave 015,Home Appliances,Kitchen,Sony,1919.92,2974.43
P0016,Sony Smartphone 016,Electronics,Mobile,Sony,2915.7,4466.89
P0017,Nestle Coffee Maker 017,Home Appliances,Kitchen,Nestle,2317.48,3180.06
P0018,Nestle Women's Jeans 018,Fashion,Women,Nestle,1329.22,1649.26
P0019,Samsung Air Conditioner 019,Home Appliances,Cooling,Samsung,1535.54,2392.99
P0020,IKEA Air Conditioner 020,Home Appliances,Cooling,IKEA,701.82,831.4
P0021,Nike Cereal 021,Grocery,Pantry,Nike,2790.5,4223.85
P0022,Nike Cushion 022,Home & Living,Decor,Nike,2414.94,2979.93
P0023,Nestle Cleanser 023,Beauty,Skincare,Nestle,2690.35,3478.9
P0024,Samsung Smartphone 024,Electronics,Mobile,Samsung,1950.12,2243.09
